instance,optic-status,optic-quality,aries-optic-status,aries-optic-quality,lpg-status,lpg-quality,aries-lpg-status,aries-lpg-quality,aries-status,aries-quality
depots:1,SOLVED,32.0,SOLVED,22.0,SOLVED,22.0,SOLVED,22.0,SOLVED,22.0
depots:10,SOLVED,66.0,SOLVED,46.0,SOLVED,46.0,SOLVED,46.0,SOLVED,46.0
depots:11,TIMEOUT,,TIMEOUT,,SOLVED,100.0,SOLVED,136.0,SOLVED,80.0
depots:12,TIMEOUT,,TIMEOUT,,SOLVED,139.0,SOLVED,139.0,TIMEOUT,
depots:13,SOLVED,66.0,SOLVED,56.0,SOLVED,56.0,SOLVED,56.0,SOLVED,56.0
depots:14,TIMEOUT,,TIMEOUT,,SOLVED,57.0,SOLVED,79.0,TIMEOUT,
depots:15,TIMEOUT,,TIMEOUT,,SOLVED,116.0,SOLVED,118.0,SOLVED,84.0
depots:16,SOLVED,86.0,SOLVED,46.0,SOLVED,46.0,SOLVED,46.0,SOLVED,46.0
depots:17,SOLVED,47.0,SOLVED,27.0,SOLVED,26.0,SOLVED,27.0,SOLVED,26.0
depots:18,SOLVED,162.0,SOLVED,162.0,SOLVED,75.0,SOLVED,138.0,TIMEOUT,
depots:19,TIMEOUT,,TIMEOUT,,SOLVED,68.0,SOLVED,68.0,SOLVED,68.0
depots:2,SOLVED,43.0,SOLVED,33.0,SOLVED,33.0,SOLVED,33.0,SOLVED,33.0
depots:20,TIMEOUT,,TIMEOUT,,SOLVED,166.0,SOLVED,198.0,TIMEOUT,
depots:21,SOLVED,97.0,SOLVED,67.0,SOLVED,77.0,SOLVED,67.0,SOLVED,67.0
depots:22,TIMEOUT,,TIMEOUT,,SOLVED,282.0,SOLVED,282.0,TIMEOUT,
depots:3,SOLVED,190.0,SOLVED,190.0,SOLVED,36.0,SOLVED,37.0,SOLVED,36.0
depots:4,SOLVED,149.0,SOLVED,149.0,SOLVED,28.0,SOLVED,28.0,SOLVED,28.0
depots:5,SOLVED,336.0,SOLVED,336.0,SOLVED,50.0,SOLVED,50.0,SOLVED,40.0
depots:6,TIMEOUT,,TIMEOUT,,TIMEOUT,,TIMEOUT,,TIMEOUT,
depots:7,SOLVED,87.0,SOLVED,37.0,SOLVED,35.0,SOLVED,36.0,SOLVED,35.0
depots:8,TIMEOUT,,TIMEOUT,,SOLVED,40.0,SOLVED,84.0,TIMEOUT,
depots:9,TIMEOUT,,TIMEOUT,,SOLVED,91.0,SOLVED,91.0,TIMEOUT,
jobshop:1,SOLVED,1929.38,SOLVED,950.17,SOLVED,1100.2,SOLVED,951.18,SOLVED,950.18
jobshop:10,SOLVED,2588.59,SOLVED,2067.37,SOLVED,1751.39,SOLVED,1816.34,SOLVED,2033.4
jobshop:11,SOLVED,3501.75,SOLVED,2821.7,SOLVED,2324.52,SOLVED,2938.61,SOLVED,3835.74
jobshop:12,SOLVED,2868.71,SOLVED,2587.62,SOLVED,2070.48,SOLVED,2525.6,SOLVED,3299.74
jobshop:13,SOLVED,3537.8,SOLVED,2979.65,SOLVED,2247.47,SOLVED,2977.59,SOLVED,3396.62
jobshop:14,SOLVED,3637.79,SOLVED,2801.65,SOLVED,2292.51,SOLVED,2835.63,SOLVED,3500.73
jobshop:15,SOLVED,3603.78,SOLVED,2795.65,SOLVED,2400.46,SOLVED,3054.61,SOLVED,3517.68
jobshop:16,SOLVED,3284.7,SOLVED,2593.55,SOLVED,2065.43,SOLVED,3005.66,SOLVED,3536.72
jobshop:17,SOLVED,3104.69,SOLVED,2249.47,SOLVED,2005.42,SOLVED,2883.65,SOLVED,3188.74
jobshop:18,SOLVED,3687.77,SOLVED,2761.62,SOLVED,2252.48,SOLVED,2889.63,SOLVED,3601.73
jobshop:19,SOLVED,3429.65,SOLVED,2732.6,SOLVED,2076.5,SOLVED,2995.6,SOLVED,3622.7
jobshop:2,SOLVED,2102.39,SOLVED,885.17,SOLVED,1112.27,SOLVED,885.12,SOLVED,881.18
jobshop:20,SOLVED,3519.72,SOLVED,2795.61,SOLVED,2378.48,SOLVED,3078.66,SOLVED,3875.72
jobshop:21,SOLVED,1818.41,SOLVED,666.09,SOLVED,1077.27,SOLVED,666.09,SOLVED,666.09
jobshop:22,SOLVED,1741.42,SOLVED,655.1,SOLVED,947.19,SOLVED,655.1,SOLVED,655.1
jobshop:23,SOLVED,1543.36,SOLVED,614.11,SOLVED,863.22,SOLVED,597.09,SOLVED,620.1
jobshop:24,SOLVED,1583.38,SOLVED,609.14,SOLVED,928.22,SOLVED,622.16,SOLVED,618.12
jobshop:25,SOLVED,1443.36,SOLVED,593.09,SOLVED,908.28,SOLVED,593.09,SOLVED,593.09
jobshop:26,SOLVED,2276.5,SOLVED,1348.28,SOLVED,1437.4,SOLVED,1737.37,SOLVED,1853.35
jobshop:27,SOLVED,2245.54,SOLVED,1048.17,SOLVED,1485.33,SOLVED,1509.3,SOLVED,1669.37
